

Cluster   EE  E   CE  C   CD  D   ND

C0        0   1   1   2   3   2   0
C1        1   1   2   1   0   1   0
C2        3   0   0   0   0   0   0
C3        0   2   0   1   1   2   0
C4        0   0   0   0   2   0   0   
